collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T15:30:00Z,2026-09-02T17:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T15:45:00Z,2026-09-02T17:45:00+0200,67.268,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T15:45:00Z,2026-09-02T17:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:00:00Z,2026-09-02T18:00:00+0200,82.839,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:00:00Z,2026-09-02T18:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:15:00Z,2026-09-02T18:15:00+0200,81.768,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:15:00Z,2026-09-02T18:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:30:00Z,2026-09-02T18:30:00+0200,53.876,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:30:00Z,2026-09-02T18:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T16:45:00Z,2026-09-02T18:45:00+0200,34.818,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
