collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T08:45:00Z,2026-08-31T10:45:00+0200,18.125,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:00:00Z,2026-08-31T11:00:00+0200,3033.488,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:00:00Z,2026-08-31T11:00:00+0200,16.928,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:15:00Z,2026-08-31T11:15:00+0200,2888.96,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:15:00Z,2026-08-31T11:15:00+0200,1.985,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:30:00Z,2026-08-31T11:30:00+0200,2772.754,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:30:00Z,2026-08-31T11:30:00+0200,1.985,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:45:00Z,2026-08-31T11:45:00+0200,3011.752,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T09:45:00Z,2026-08-31T11:45:00+0200,1.99,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T10:00:00Z,2026-08-31T12:00:00+0200,3139.211,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T10:00:00Z,2026-08-31T12:00:00+0200,7.182,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T10:15:00Z,2026-08-31T12:15:00+0200,3133.139,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T10:15:00Z,2026-08-31T12:15:00+0200,2.04,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T10:30:00Z,2026-08-31T12:30:00+0200,3204.332,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-07T01:06:23Z
2026-09-07T01:04:28Z,2026-09-07T03:04:28+0200,95e0ff57-584a-49a7-9d46-f87b98eb486e,2026-08-31T10:30:00Z,2026-08-31T12:30:00+0200,1.995,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-07T01:06:23Z
