collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:00:00Z,2026-09-14T20:00:00+0200,5.897,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:15:00Z,2026-09-14T20:15:00+0200,1281.125,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:15:00Z,2026-09-14T20:15:00+0200,4.856,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:30:00Z,2026-09-14T20:30:00+0200,1329.731,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:30:00Z,2026-09-14T20:30:00+0200,5.546,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:45:00Z,2026-09-14T20:45:00+0200,1344.946,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:45:00Z,2026-09-14T20:45:00+0200,4.638,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T19:00:00Z,2026-09-14T21:00:00+0200,1367.063,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T19:00:00Z,2026-09-14T21:00:00+0200,5.185,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T19:15:00Z,2026-09-14T21:15:00+0200,1331.066,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T19:15:00Z,2026-09-14T21:15:00+0200,5.367,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
