timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-03T07:45:00Z,2026-01-03T08:45:00+0100,5524.43,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T08:00:00Z,2026-01-03T09:00:00+0100,5596.28,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T08:15:00Z,2026-01-03T09:15:00+0100,5587.76,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T08:30:00Z,2026-01-03T09:30:00+0100,5602.5,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T08:45:00Z,2026-01-03T09:45:00+0100,5536.12,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T09:00:00Z,2026-01-03T10:00:00+0100,5502.52,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T09:15:00Z,2026-01-03T10:15:00+0100,5567.79,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T09:30:00Z,2026-01-03T10:30:00+0100,5605.35,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T09:45:00Z,2026-01-03T10:45:00+0100,5543.85,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T10:00:00Z,2026-01-03T11:00:00+0100,5587.8,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T10:15:00Z,2026-01-03T11:15:00+0100,5605.41,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T10:30:00Z,2026-01-03T11:30:00+0100,5689.95,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T10:45:00Z,2026-01-03T11:45:00+0100,5735.42,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T11:00:00Z,2026-01-03T12:00:00+0100,5749.23,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T11:15:00Z,2026-01-03T12:15:00+0100,5779.64,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T11:30:00Z,2026-01-03T12:30:00+0100,5873.09,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T11:45:00Z,2026-01-03T12:45:00+0100,6004.57,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T12:00:00Z,2026-01-03T13:00:00+0100,6124.82,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
