collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T00:00:00Z,2026-09-07T02:00:00+0200,608.6075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T01:00:00Z,2026-09-07T03:00:00+0200,482.91,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T02:00:00Z,2026-09-07T04:00:00+0200,462.9975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T03:00:00Z,2026-09-07T05:00:00+0200,530.19,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T04:00:00Z,2026-09-07T06:00:00+0200,392.1075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T05:00:00Z,2026-09-07T07:00:00+0200,342.225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T06:00:00Z,2026-09-07T08:00:00+0200,365.5575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T07:00:00Z,2026-09-07T09:00:00+0200,447.1525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T08:00:00Z,2026-09-07T10:00:00+0200,499.71,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-07T09:00:00Z,2026-09-07T11:00:00+0200,985.44,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
