collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T04:00:00Z,2026-09-15T06:00:00+0200,543.41875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T05:00:00Z,2026-09-15T07:00:00+0200,453.23725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T06:00:00Z,2026-09-15T08:00:00+0200,381.3595,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T07:00:00Z,2026-09-15T09:00:00+0200,355.14725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T08:00:00Z,2026-09-15T10:00:00+0200,470.851,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T09:00:00Z,2026-09-15T11:00:00+0200,432.03525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T10:00:00Z,2026-09-15T12:00:00+0200,369.8745,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T11:00:00Z,2026-09-15T13:00:00+0200,519.73125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T12:00:00Z,2026-09-15T14:00:00+0200,768.955,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T13:00:00Z,2026-09-15T15:00:00+0200,999.926,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
