collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T15:45:00Z,2026-06-29T17:45:00+0200,478.484,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T15:45:00Z,2026-06-29T17:45:00+0200,0.446,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:00:00Z,2026-06-29T18:00:00+0200,459.722,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:00:00Z,2026-06-29T18:00:00+0200,0.237,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:15:00Z,2026-06-29T18:15:00+0200,499.938,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:15:00Z,2026-06-29T18:15:00+0200,0.495,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:30:00Z,2026-06-29T18:30:00+0200,516.224,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:30:00Z,2026-06-29T18:30:00+0200,0.524,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:45:00Z,2026-06-29T18:45:00+0200,502.984,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T16:45:00Z,2026-06-29T18:45:00+0200,0.407,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:00:00Z,2026-06-29T19:00:00+0200,521.484,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:00:00Z,2026-06-29T19:00:00+0200,0.385,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:15:00Z,2026-06-29T19:15:00+0200,536.002,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:15:00Z,2026-06-29T19:15:00+0200,0.614,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:30:00Z,2026-06-29T19:30:00+0200,508.966,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:30:00Z,2026-06-29T19:30:00+0200,0.506,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:45:00Z,2026-06-29T19:45:00+0200,478.182,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T17:45:00Z,2026-06-29T19:45:00+0200,0.508,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:00:00Z,2026-06-29T20:00:00+0200,359.889,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:00:00Z,2026-06-29T20:00:00+0200,0.648,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:15:00Z,2026-06-29T20:15:00+0200,330.686,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:15:00Z,2026-06-29T20:15:00+0200,0.657,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:30:00Z,2026-06-29T20:30:00+0200,308.784,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:30:00Z,2026-06-29T20:30:00+0200,0.673,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:45:00Z,2026-06-29T20:45:00+0200,297.957,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T18:45:00Z,2026-06-29T20:45:00+0200,1.13,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:00:00Z,2026-06-29T21:00:00+0200,274.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:00:00Z,2026-06-29T21:00:00+0200,1.387,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:15:00Z,2026-06-29T21:15:00+0200,252.83,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:15:00Z,2026-06-29T21:15:00+0200,1.314,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:30:00Z,2026-06-29T21:30:00+0200,213.346,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:30:00Z,2026-06-29T21:30:00+0200,1.507,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:45:00Z,2026-06-29T21:45:00+0200,172.453,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T19:45:00Z,2026-06-29T21:45:00+0200,1.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:00:00Z,2026-06-29T22:00:00+0200,163.652,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:00:00Z,2026-06-29T22:00:00+0200,2.161,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:15:00Z,2026-06-29T22:15:00+0200,153.037,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:15:00Z,2026-06-29T22:15:00+0200,2.246,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:30:00Z,2026-06-29T22:30:00+0200,146.054,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:30:00Z,2026-06-29T22:30:00+0200,2.763,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:45:00Z,2026-06-29T22:45:00+0200,144.886,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T20:45:00Z,2026-06-29T22:45:00+0200,5.822,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
